asin,rv_stars_rating,rv_titre,rv_date,rv_pays,rv_achat,rv_body,rv_utile,rv_lien
B09D8L99FM,"2,0 sur 5 étoiles",GROS PROBLEMES DE FONCTIONNEMENT,21-mai-2021,France,Achat vérifié,"J'ai acheté cette télévision par rapport aux commentaires sur le site Amazon.fr. Hélas après des difficultés pour la paramétrer car pas de notice en Français, une fois les chaînes recherchées, l'écran s'éteignait et se rallumait. J'ai compté 10 fois en 2heures de quoi péter un plomb et ceci même avec un lecteur DVD, même chose ! j'ai renvoyé l'article et demandé le remboursement !",22 personnes ont trouvé cela utile,/gp/customer-reviews/R3A0G6GY5L4YU1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très bonne smart tv.,10-novembre-2021,France,Achat vérifié,Acheter Lundi 8 Novembre 2021.,14 personnes ont trouvé cela utile,/gp/customer-reviews/R752PQYG8WDLJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"2,0 sur 5 étoiles",Plusieurs bug,13-juillet-2021,France,Achat vérifié,"Acheté en avril 2021, la TV est au premiers abord trés sympa pour son prix",11 personnes ont trouvé cela utile,/gp/customer-reviews/R2H9A681R3AIFK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bon produit mais pixels morts,14-novembre-2021,France,Achat vérifié,"Livraison super rien à dire, le livreur très sympathique. Il m'a même aidé à la porter jusqu'à l'étage.",6 personnes ont trouvé cela utile,/gp/customer-reviews/RSZAQFVHUI02H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Mauvaise qualité de service de livraison et impossibilité de régler la luminosité de l'écran,22-juillet-2021,France,Achat vérifié,"Aucun moyen de paramétrer la luminosité de l'écran, ni même pour supprimer l'écran bleu qui polluent les yeux. Quand à la compagnie de livraison, je suis tombée sur la pire société de livraison: UPS (qui rime avec ""ça pue des fesses!!""). Un monumentale erreur d'avoir acheté un téléviseur de cette envergure et notamment lorsque la livraison est assurée par un groupe de paresseux qu'ils m'ont reposés un lapin 2 fois lorsque j'ai reprogrammé la date de livraison pour lesquelles ils n'ont jamais effectué le trajet. À éviter d'acheter l'article, vous serez instantanément déçu d'après mon vécu",6 personnes ont trouvé cela utile,/gp/customer-reviews/R9KBTL3O4KYPU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",scart poids réglages,1-avril-2021,France,Achat vérifié,"j’avais besoin d’un port scart- peritel , rarement présent aujourd’hui, pour conserver l’usage de mon lecteur enregistreur  vhs dvd . beaucoup de possibilités de réglage à ne pas négliger lors de la mise en route écran d’une belle finesse poids plume pour cette dimension. appareil livré avec configuration économique d’énergie (a+) bien se servir des sous menus afin d’obtenir une excellente qualité d’image malgré les mises en garde du logiciel quant à la consommation électrique... vous n’allez pas regretter le temps passé",7 personnes ont trouvé cela utile,/gp/customer-reviews/R3QW917215GE6H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Un téléviseur arriver avec le son qui ne marche pas,1-avril-2021,France,Achat vérifié,Commander le téléviseur début mars,7 personnes ont trouvé cela utile,/gp/customer-reviews/RUDDHZNFI2HQ6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bonne image mais son un peu à la traine,16-janvier-2022,France,Achat vérifié,"La télévision est complète, elle fait les canaux terrestre et satellite ce qui est très bien pour une utilisation nomade. Son alimentation est en 12V et un bloc secteur est fourni ce qui la rends utilisable partout, et c'est très bien .",2 personnes ont trouvé cela utile,/gp/customer-reviews/R3K53AW6TBVIVH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles","Belles images, compliqué à installer, il faut de la patience.  Tuner satellite  inutilisable",28-avril-2022,France,Achat vérifié,"Ce téléviseur affiche de belles images, mais il est compliqué à installer. La télécommande est assez bien conçue. La notice est ridicule, réduite à un papier pliant destiné aux illettrés. En utilisation Youtube les images sont excellentes.",,/gp/customer-reviews/R17NP1P3LON1MX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Télé HS au bout d'un mois (commentaire du 24/01/22),23-janvier-2022,France,Achat vérifié,"J'ai acheté cette télé il y a à peine un mois (reçue le 16/12/21) lundi dernier (17/01/22), elle a commencé à se couper brutalement plusieurs fois de suite (quelques secondes après qu'on l'ait rallumée). Le lendemain matin, même plus possible de l'allumer (le logo de la marque s'affichait et hop elle se coupait, jusqu'à ne plus s'allumer du tout). Je suis rentrée en contact avec Amazon qui malheureusement ne peut pas l'échanger (vendue par un vendeur tiers, Amazon s'occupe uniquement de l'expédition) mais seulement me fournir une étiquette de retour et me rembourser. J'ai donc été obligée d'acheter une autre télé chez la concurrence. Je ne recommande ni ce produit ni ce vendeur (solufficio)",2 personnes ont trouvé cela utile,/gp/customer-reviews/R18AN00AMAS5NU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très bon produit. Très bon rapport qualité prix.,21-mai-2021,France,Achat vérifié,J'ai acheté ce produit sur AMAZON en Mai 2021(TV Strong 4K 43p). Livraison très rapide avec Amazon Prime.,3 personnes ont trouvé cela utile,/gp/customer-reviews/R1I39V4BQZVJCA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bonne télé pour le prix,30-décembre-2021,France,Achat vérifié, Pour le prix(399€) je m'en plains pas. De belles couleurs et un noirs profond. L image est belle et nette. La 4K Ultra HD ne saute pas aux yeux. Franchement je vois pas la différence avec mon ancienne télé en1080. La télé blanchie des qu ont ce mets sur les côtés....style les premières LCD. Ont dois toujours rester en face.Part contre le son est de très bonne qualité pour ce genre de télé a prix mini. Les bords de la télé sont Ultra fin qui donne de l élégance. Fini les gros encadrage.,2 personnes ont trouvé cela utile,/gp/customer-reviews/RQC4GULBI4IIN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Télévision de grande qualité,8-mai-2021,France,Achat vérifié,Une très belle télévision de grande qualité.,,/gp/customer-reviews/RPGJQEKU1QVUI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Un petit bug gênant,30-décembre-2020,France,Achat vérifié,"Très bon son,très belle image mais lors du passage en mode TV après arrêt du décodeur canal+ un bug vous informant : ""Plus d'information"" lorsqu'on revient sur les chaînes TNT pour l'instant je le résoud en éteignant 10/12 sec puis en rallumant mais ce n'est pas agréable du tout",2 personnes ont trouvé cela utile,/gp/customer-reviews/R9152LIZ09CLS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles","Bon prix , bonne qualité d'image .",25-janvier-2022,France,Achat vérifié,"Bon prix pour la grandeur de cette télévision , bonne qualité d'image , son pas trop mal mais faudrait rajouter une barre de son , 2 télécommandes de fournis , seul chose à dire , on ne peu pas aller sur internet directement par le biais de la télévision .",Une personne a trouvé cela utile,/gp/customer-reviews/RLF5OVM90HBXT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Content du produit mais l’alimentation en 220v bof,13-mars-2021,France,Achat vérifié,Pourquoi il n’y a pas la connections 12 volt le transfo 220 n’est pas très utile si tu achètes une tv 12v c’est pas pour avoir un transfo 12 v/220v,3 personnes ont trouvé cela utile,/gp/customer-reviews/R3KTFPOAXERGD0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Tres bien pour le prix,26-avril-2022,France,Achat vérifié,Tres intuitive pour l'installation.,,/gp/customer-reviews/RYVFJ0SG2FCV0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Je le recommande,1-décembre-2021,France,Achat vérifié,Même si j'ai eu du mal à obtenir mon colis via UPS,Une personne a trouvé cela utile,/gp/customer-reviews/R30Y9U0H80QWOW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"2,0 sur 5 étoiles",attention pas compatible Fransat en réalité,25-octobre-2021,France,Achat vérifié,"j'ai commandé ce produit pour la compatibilité avec le module Fransat. Sauf que une fois reçu, et suite à des problèmes (aucun signal lors de la recherche des chaînes), je contacte Fransat qui m'informe qu'en réalité Strong ne fait pas partie des Constructeurs compatibles Fransat... assez fâchée donc, ce qui est d'autant plus dommage que sinon la tv me convenait",2 personnes ont trouvé cela utile,/gp/customer-reviews/R1PPRQD5D21EB0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Très bon pour le prix,23-mars-2021,France,Achat vérifié,Qualité d’image très bonne.,Une personne a trouvé cela utile,/gp/customer-reviews/RASRMMRXD7UDL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Bon rapport qualité prix,11-décembre-2021,France,Achat vérifié,Nickel livraison avant l'heure par chronopost,,/gp/customer-reviews/R2BWRLZDKLS4RR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",image incroyable,23-janvier-2022,France,Achat vérifié,"L'image c'est ce qui ma rappé le plus. Elle est d'une netteté!... en plus l TV se connecte automatiquement à la box et mon compte prime vidéo a été hyper facile à connecter.  Je suis aux anges, et je recommande à 1000 %.",Une personne a trouvé cela utile,/gp/customer-reviews/R1S6C3BMXEB9A7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"2,0 sur 5 étoiles",cela arrive d'avoir un appareil défectueux vendu par un tiers,31-juillet-2021,France,Achat vérifié,pas vraiment le top .pas de prise pour une barre de son .manque une prise pour un casque .le téléviseur aprés avoir lu un film en provenance d'une clée usb ne reviens pas sur les chaines nationales .faut éteindre le téléviseur .le rallumer  .ensuite cela refonctionne .peut étre une erreur de fabrication .,,/gp/customer-reviews/R31T5QOWCEREVY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Tv hs,22-mai-2021,France,Achat vérifié,"Utilisation camping car, le téléviseur a marché une semaine, il ne s'allume plus, ni en 220v ni en 12v .. De grande difficultés pour la guarantie , usant !",3 personnes ont trouvé cela utile,/gp/customer-reviews/R9RMG9EF6ZYY1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Image,10-octobre-2021,France,Achat vérifié, L'image et super jolie pour jouer à la ps4 par contre pour regarder un films elle et mois de qualité pour moi sa me suffit car je joue plus à ma console qu'à regarder la tv,2 personnes ont trouvé cela utile,/gp/customer-reviews/R21BEI4YTBMSRL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Rapport qualité prix bien,29-avril-2022,France,Achat vérifié,"TV full HD connecté au top , très facile à installer, par contre impossible de mettre BBox TV , autres soucis le vissage d un pied était impossible, le pas de vis était pas assez long , donc attention aux acheteurs.",,/gp/customer-reviews/R1HEQX6LSAA71R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Bon rapport qualité prix,26-novembre-2021,France,Achat vérifié,1ère télé 4k et je suis satisfait,,/gp/customer-reviews/R3I14X86H93A3N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",correct,28-avril-2022,France,Achat vérifié,"télé recu en bonne etat mais emballage dechirer. manque les deux pieds et jamais eu de reponses du vendeur. le google fonctionne pas tres bien, la télé comprend un mot sur deux.",,/gp/customer-reviews/RR8P8VTSGI1QI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"2,0 sur 5 étoiles",Très déçu,27-septembre-2021,France,Achat vérifié,Le peu d’espace qu’il y a entre le port hdmi et le cache arrière de la télé abîme les câbles hdmi,,/gp/customer-reviews/R3AXF42X9Q4L3S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",bon produit,12-juillet-2021,France,Achat vérifié,"poduit leger tres facilement deplacable pour le mode d emploi vous allez sur le site de strong vous donnez les reference il vous envoi un lien pour imprimer dans les  24 h  , boite trés sérieuse je recommande leur produit",Une personne a trouvé cela utile,/gp/customer-reviews/R1AKZEFBQN7TVO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très bonne qualité,23-janvier-2022,France,Achat vérifié,Pour commencer livreur très agréable et gentil. Merci aux vendeurs aussi c’est venu comme prévu excellent qualité je suis très contente de mon produit rien à dire 💯👍,Une personne a trouvé cela utile,/gp/customer-reviews/R2R9FGFM3GTNT1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Télévision d'entrée de gamme correct.,12-mai-2021,France,Achat vérifié,"La télé est vraiment légère et très fine on dirait un écran d'ordinateur, le son n'est pas top et l'mage est je dirais normal pour ce prix-là. On voit que c'est une télévision d'entrée de gamme, pour le prix elle est correct. C'est une télévision pour petit budget.",,/gp/customer-reviews/RAEIRZXC11W9X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",PAS DE LECTURE DES CLES USB,9-juin-2021,France,Achat vérifié,"J'ai acheté cet écran 40/41'' à bas prix, en mode test, pour afficher des diaporamas dans les vitrines d'agences immobilières (65 agences) pour passer des messages enregistrées sur une clé USB et ce téléviseur ne lit pas les clés ??? C'est pourtant annoncé sur les détails de la fiche constructeur ???",,/gp/customer-reviews/R10EP1G1EEODCY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Parfait,27-avril-2021,France,Achat vérifié,"À part le retard de livraison... Je suis hyper contente de mon achat, la télé est superbe les couleurs incroyable et très facile d'installation. J'ai accès à Netflix en un clin d'œil.",Une personne a trouvé cela utile,/gp/customer-reviews/R23B60ME17DPWA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Super,29-janvier-2022,France,Achat vérifié,"Super télévision connectée, image et son nickels.",Une personne a trouvé cela utile,/gp/customer-reviews/R3VR2I1XPKH0X8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très étonné par la qualité du produit,1-avril-2022,France,Achat vérifié,"Fonctionne parfaitement et installation très simple, par contre son moyen mais corrigé avec une barre de son ! Rapport qualité prix imbattable.",Une personne a trouvé cela utile,/gp/customer-reviews/R3R794EO94NJ88/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",TITRE MENSONGER,11-mai-2021,France,Achat vérifié,Pas de télé connectée !,,/gp/customer-reviews/RRQ2A992UWATI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Télé bien mais son moyen,29-avril-2022,France,Achat vérifié,Pour le prix très bonne télé mais le son est moyen mais as quand même une bonne image fonctionne très bien,,/gp/customer-reviews/RMEPVG2Y25FK2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Rapport qualité prix excellent,28-janvier-2022,France,Achat vérifié,"Excellent rapport qualité prix - eu en promo à 399 euros avec un chèque cadeau de 170 elle m'est revenue à 229 euros tout compris, l'image est top, le son très bon ainsi que les finitions. La classe. Vous pouvez y aller les yeux fermés ! Installation faite en cinq minutes.",Une personne a trouvé cela utile,/gp/customer-reviews/R889YHCLYA2S6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bon,31-juillet-2021,France,Achat vérifié,"Reçu assez rapidement , image assez médiocre, et surtout je l avais acheté pour regarder mes film avec ma tv stick mais le port hdmi est beaucoup trop bas pour le brancher donc obliger d acheter une rallonge hdmi...",,/gp/customer-reviews/RE67MYJDLV53B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Satisfait.,22-janvier-2021,France,Achat vérifié,"Ce téléviseur répond très bien à mes espérance et est conforme aux descriptifs. il est facile à mettre en route et dans son d'utilisation. Le seul bémol, les documents fournis en anglais et être obligé de télécharger la notice d'utilisation sur internet en passant par un site payant.",,/gp/customer-reviews/R3AMQ7XMTBZQF6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Trés bon rapport qualité <> prix,25-octobre-2021,France,Achat vérifié,"Pour le prix et livré en 48h, difficile de faire mieux.",,/gp/customer-reviews/R3FQFV3HBX4DG0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Très legere,26-novembre-2021,France,Achat vérifié,Parfait en seconde TV très légère la qualité de l image est moyenne et le prix est au top,,/gp/customer-reviews/R2PW8KVYNHUR5A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Super télé 4k,12-décembre-2020,France,Achat vérifié,Super télé facile à monté un peu plus difficile pour activé la 4k mais une fois fait c'est juste un bonheur Super surtout pour la qualité prix,Une personne a trouvé cela utile,/gp/customer-reviews/R3J9RAT6IUW8LI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Une télé manifestement de très bon rapport qualité/prix,8-septembre-2021,France,Achat vérifié,Étonnant de voir comme les télés actuelles sont légères. On la porte d'une main sans problème.,,/gp/customer-reviews/R3F935GGMSGMTE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Le produit est super rapport qualité prix,12-novembre-2021,France,Achat vérifié,Ce produit je l'utilise en famille rien a dire je vous le conseil bonne investissement,2 personnes ont trouvé cela utile,/gp/customer-reviews/R2EC694JIRI4PG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",👍,4-mai-2021,France,Achat vérifié,Mes enfants sont ravis 💙,Une personne a trouvé cela utile,/gp/customer-reviews/RTL7E8DKFOAPY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",TV LED.,3-août-2021,France,Achat vérifié,"Très contente de mon achat,je me suis laissée porter par ""Amazon Choice"",et je ne le regrette pas.",,/gp/customer-reviews/R1A7SVE4FF6RR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Super produit,27-novembre-2021,France,Achat vérifié,Très bien  rapport qualité prix. Fonctionne très bien en 12 V,,/gp/customer-reviews/R2Y03C4QBCPJV9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles",Rapport qualité prix,26-décembre-2021,France,Achat vérifié,"Achat pour un Kdo apprécié, fonctionne parfaitement et prix très intéressant",Une personne a trouvé cela utile,/gp/customer-reviews/R1B2QG0F1E3G4V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",STRONG SRT32HC2003 HD TV LED,30-mai-2021,France,Achat vérifié,"conforme à la description du vendeur, je recommande. Bonne qualité pour le moins cher du marché. PP",,/gp/customer-reviews/R2GTPH0ECEINH6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Réglage des chaînes manuel,5-juin-2021,France,Achat vérifié,Niquel bien reçu très bonne qualité de image seul soucis réglage des chaînes manuel sinon très bien,,/gp/customer-reviews/R1I7BRQCAF13QB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles","belle couleurs ,mise en route simple",16-avril-2021,France,Achat vérifié,"on a acheter ce produit car on attend la réparation de mon téléviseur de salon,ce produit ira dans une chambre donc trés bon téléviseur pour une deuxieme utilisation,dans un grand salon un peu petit .trés bon téléviseur .",,/gp/customer-reviews/R24GFPCKW3GXBP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très bon rapport qualité prix,12-avril-2021,France,Achat vérifié,Très satisfait excellente télévision fonctionne parfaitement très légère on peut facilement la déplacer,,/gp/customer-reviews/R1L89L4Z60XN30/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bon produit mais ...,7-janvier-2022,France,Achat vérifié,Bon produit mais un audio de très mauvaise qualité,2 personnes ont trouvé cela utile,/gp/customer-reviews/R3OA3VLUGM8VY5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Facile à utiliser et de très bonne qualité,8-février-2022,France,Achat vérifié,Qualité se l image très bonne,Une personne a trouvé cela utile,/gp/customer-reviews/R1H6OXPTJ3DIUC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Pas de garantie,12-novembre-2021,France,Achat vérifié,Elle s'éteint. Et les images sont un peu floues,,/gp/customer-reviews/R2BHGDUW47SOP1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",rapport qualité prix au top,18-janvier-2022,France,Achat vérifié,Pour la chambre de ma petite fille,,/gp/customer-reviews/R3G3I196ECJ8U4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
